Region,Good,Material,value
OAS,Household & Leisure & Sports,PS,0.105870039
SSA,Household & Leisure & Sports,PS,0.107939516
EUR,Household & Leisure & Sports,PS,0.107244197
NEU,Household & Leisure & Sports,PS,0.108613165
MEA,Household & Leisure & Sports,PS,0.108177554
REF,Household & Leisure & Sports,PS,0.10751897
CAZ,Household & Leisure & Sports,PS,0.107903994
CHA,Household & Leisure & Sports,PS,0.104970399
IND,Household & Leisure & Sports,PS,0.103414302
JPN,Household & Leisure & Sports,PS,0.108071948
USA,Household & Leisure & Sports,PS,0.109348443
LAM,Household & Leisure & Sports,PUR,0.044859788
OAS,Household & Leisure & Sports,PUR,0.044871811
SSA,Household & Leisure & Sports,PUR,0.045757267
EUR,Household & Leisure & Sports,PUR,0.045410068
NEU,Household & Leisure & Sports,PUR,0.046011973
MEA,Household & Leisure & Sports,PUR,0.045856874
REF,Household & Leisure & Sports,PUR,0.04557558
CAZ,Household & Leisure & Sports,PUR,0.045711539
CHA,Household & Leisure & Sports,PUR,0.044481493
IND,Household & Leisure & Sports,PUR,0.043837068
JPN,Household & Leisure & Sports,PUR,0.045771335
USA,Household & Leisure & Sports,PUR,0.046333825
LAM,Household & Leisure & Sports,LDPE,0.161007532
OAS,Household & Leisure & Sports,LDPE,0.161323553
SSA,Household & Leisure & Sports,LDPE,0.162743894
EUR,Household & Leisure & Sports,LDPE,0.165985514
NEU,Household & Leisure & Sports,LDPE,0.165783168
MEA,Household & Leisure & Sports,LDPE,0.163156157
REF,Household & Leisure & Sports,LDPE,0.162627947
CAZ,Household & Leisure & Sports,LDPE,0.164982411
CHA,Household & Leisure & Sports,LDPE,0.160952538
IND,Household & Leisure & Sports,LDPE,0.158377278
JPN,Household & Leisure & Sports,LDPE,0.166012116
USA,Household & Leisure & Sports,LDPE,0.165749769
LAM,Household & Leisure & Sports,PVC,0.05034525
OAS,Household & Leisure & Sports,PVC,0.050358305
SSA,Household & Leisure & Sports,PVC,0.051384841
EUR,Household & Leisure & Sports,PVC,0.050946432
NEU,Household & Leisure & Sports,PVC,0.051655232
MEA,Household & Leisure & Sports,PVC,0.051496907
REF,Household & Leisure & Sports,PVC,0.051171427
CAZ,Household & Leisure & Sports,PVC,0.051310466
CHA,Household & Leisure & Sports,PVC,0.049903844
IND,Household & Leisure & Sports,PVC,0.049171002
JPN,Household & Leisure & Sports,PVC,0.051370764
USA,Household & Leisure & Sports,PVC,0.052033499
LAM,Electrical/Electronics,ABS_ASA_SAN,0.139135609
OAS,Electrical/Electronics,ABS_ASA_SAN,0.139327314
SSA,Electrical/Electronics,ABS_ASA_SAN,0.140354662
EUR,Electrical/Electronics,ABS_ASA_SAN,0.140690912
NEU,Electrical/Electronics,ABS_ASA_SAN,0.141102056
MEA,Electrical/Electronics,ABS_ASA_SAN,0.140288674
REF,Electrical/Electronics,ABS_ASA_SAN,0.139909418
CAZ,Electrical/Electronics,ABS_ASA_SAN,0.141192694
CHA,Electrical/Electronics,ABS_ASA_SAN,0.138897974
IND,Electrical/Electronics,ABS_ASA_SAN,0.138678937
JPN,Electrical/Electronics,ABS_ASA_SAN,0.140520349
USA,Electrical/Electronics,ABS_ASA_SAN,0.141018897
LAM,Electrical/Electronics,BioPlastics,0.002618843
OAS,Electrical/Electronics,BioPlastics,0.002622218
SSA,Electrical/Electronics,BioPlastics,0.002641736
EUR,Electrical/Electronics,BioPlastics,0.00264789
